"","SPECIES_ITIS","STOCK_ABBREV","SEX_TYPE","SURVEY","PURPOSE_CODE","SEASON","YEAR","AGE","SAMP_SIZE","MEAN","MEDIAN","STD_DEV","STD_ERROR","P25","P75","MIN","MAX","STRATA_SAMPLING_COMPLETE"
"1",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1987,1,5,12.8,13,1.303840481,0.5830951895,12,14,11,14,"Y"
"2",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1987,4,163,28.27607362,28,1.007921364,0.0789464941,28,29,25,30,"Y"
"3",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1987,5,42,29.523809524,29,1.2540295099,0.1935009543,29,30,28,32,"Y"
"4",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1987,6,26,31.538461538,32,1.2721876978,0.2494965345,31,32,28,34,"Y"
"5",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1987,3,92,25.27173913,25,0.9733059204,0.1014741568,25,26,23,27,"Y"
"6",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1987,7,5,31.6,32,0.5477225575,0.2449489743,31,32,31,32,"Y"
"7",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1987,2,46,21.956521739,22,1.6049440522,0.2366360906,21,23,15,25,"Y"
"8",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1987,8,3,34.333333333,35,1.1547005384,0.6666666667,33,35,33,35,"Y"
"9",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1987,11,1,35,35,NA,NA,35,35,35,35,"Y"
"10",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1987,9,1,36,36,NA,NA,36,36,36,36,"Y"
"11",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1988,2,44,21.113636364,21,1.4819206439,0.223407943,20,22,18,24,"Y"
"12",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1988,6,33,31.181818182,31,1.60963011,0.2802006365,31,32,27,35,"Y"
"13",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1988,1,77,13.974025974,14,1.2136723955,0.1383108058,13,15,8,16,"Y"
"14",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1988,4,88,27.306818182,27,1.5927851306,0.1697914654,26,28,24,31,"Y"
"15",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1988,8,4,35,35,0,0,35,35,35,35,"Y"
"16",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1988,9,4,33.75,34.5,1.8929694486,0.9464847243,32.5,35,31,35,"Y"
"17",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1988,5,148,29.554054054,30,1.1445450855,0.0940810265,29,30,26,32,"Y"
"18",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1988,11,2,36,36,0,0,36,36,36,36,"Y"
"19",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1988,3,53,25.566037736,26,1.2786626722,0.1756378258,25,26,22,28,"Y"
"20",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1988,7,21,32.047619048,32,0.9206622875,0.200904982,32,32,30,34,"Y"
"21",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1989,8,14,32.642857143,32,0.9287827317,0.2482276263,32,33,32,35,"Y"
"22",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1989,6,82,30.93902439,31,0.9856696787,0.1088490068,30,32,29,33,"Y"
"23",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1989,2,48,21.395833333,21,1.5400964785,0.2222937791,21,22,15,24,"Y"
"24",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1989,4,55,28.527272727,29,0.9973027598,0.1344762767,28,29,26,31,"Y"
"25",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1989,9,1,35,35,NA,NA,35,35,35,35,"Y"
"26",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1989,3,75,25.88,26,1.0261447135,0.1184889853,25,26,23,29,"Y"
"27",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1989,1,22,13.045454545,13,1.6176783107,0.3448901747,12,14,11,16,"Y"
"28",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1989,7,24,32.208333333,32,1.1412870944,0.2329642526,31,33,31,35,"Y"
"29",161722,"UNIT","NONE","NMFS fall BTS",10,"FALL",1989,5,37,29.702702703,30,0.9962391743,0.1637807114,29,30,28,32,"Y"
