"","SPECIES_ITIS","STOCK_ABBREV","SEX_TYPE","SURVEY","PURPOSE_CODE","SEASON","YEAR","AGE","SAMP_SIZE","MEAN","MEDIAN","STD_DEV","STD_ERROR","P25","P75","MIN","MAX","STRATA_SAMPLING_COMPLETE"
"1",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1970,8,1,104,104,NA,NA,104,104,104,104,"Y"
"2",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1970,9,2,106.5,106.5,6.3639610307,4.5,102,111,102,111,"Y"
"3",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1970,1,47,38.042553191,39,5.2293380029,0.7627773433,34,43,27,46,"Y"
"4",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1970,2,42,55.476190476,56,4.2382583586,0.6539774627,53,58,43,68,"Y"
"5",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1970,4,32,71,69.5,7.2111025509,1.2747548784,67.5,76.5,56,88,"Y"
"6",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1970,5,5,85.2,84,13.809417077,6.1757590627,81,96,65,100,"Y"
"7",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1970,3,18,60.5,62,5.9135935129,1.393847358,57,64,47,71,"Y"
"8",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1970,7,1,92,92,NA,NA,92,92,92,92,"Y"
"9",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1970,10,3,119,121,11.135528726,6.4291005073,107,129,107,129,"Y"
"10",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1970,0,17,16.588235294,17,3.2988411512,0.8000865005,15,18,8,21,"Y"
"11",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1971,12,1,111,111,NA,NA,111,111,111,111,"Y"
"12",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1971,8,3,98,100,10.148891565,5.8594652771,87,107,87,107,"Y"
"13",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1971,2,34,51.823529412,53.5,5.6593745678,0.9705747312,49,56,36,58,"Y"
"14",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1971,3,20,62.3,61,7.2264135386,1.6158751906,57.5,67,48,77,"Y"
"15",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1971,5,22,76.363636364,77.5,8.5609604187,1.825202894,69,81,63,94,"Y"
"16",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1971,4,14,71.642857143,70,7.9382922292,2.1215978398,64,77,63,88,"Y"
"17",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1971,7,2,97,97,12.727922061,9,88,106,88,106,"Y"
"18",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1971,1,22,36.090909091,34.5,4.3633657925,0.9302727127,33,39,29,45,"Y"
"19",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1971,14,1,113,113,NA,NA,113,113,113,113,"Y"
"20",164712,"GBK","NONE","NMFS fall BTS",10,"FALL",1971,6,7,85.142857143,92,11.538754575,4.3612392921,74,93,69,99,"Y"
