SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,AGE,NO_AT_AGE,ALK_COMPLETE,STRATA_SAMPLING_COMPLETE
164712,GBK,NONE,10,NMFS fall BTS,FALL,1970,0,0.4755,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1970,1,1.6305,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1970,2,1.3873,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1970,3,0.6398,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1970,4,0.6296,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1970,5,0.1025,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1970,7,0.0327,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1970,8,0.0327,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1970,9,0.0713,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1970,10,0.1148,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,0,0.3996,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,1,0.6157,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,2,0.5321,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,3,0.5006,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,4,0.3014,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,5,0.4875,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,6,0.1343,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,7,0.0279,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,8,0.1122,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,12,0.0374,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,14,0.0374,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,0,0.8211,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,1,7.5959,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,2,1.3493,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,3,1.6714,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,4,0.3812,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,5,0.2555,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,6,0.5973,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,7,0.135,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,8,0.1323,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,9,0.0268,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,10,0.0099,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,12,0.1102,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,0,0.203,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,1,1.7365,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,2,6.0328,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,3,1.343,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,4,1.9198,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,5,0.1688,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,6,0.2062,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,7,0.2668,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,8,0.0663,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,9,0.1356,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,10,0.1046,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,11,0.0243,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,12,0.0306,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,14,0.0374,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1974,0,0.4581,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1974,1,0.429,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1974,2,0.6313,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1974,3,1.4903,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1974,4,0.1811,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1974,5,0.091,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1974,6,0.1665,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1974,8,0.0425,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1975,0,2.3512,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1975,1,1.0086,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1975,2,0.431,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1975,3,0.6629,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1975,4,1.6071,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1975,5,0.1373,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1975,6,0.1701,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1975,10,0.0374,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1976,1,6.1474,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1976,2,2.0362,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1976,3,0.7714,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1976,4,0.338,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1976,5,0.7482,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1976,6,0.0312,Y,Y
164712,GBK,NONE,10,NMFS fall BTS,FALL,1976,7,0.2591,Y,Y
