"","SURVEY","YEAR","samp_size","medianK","P25","P75","stock"
"1","MADMF spring BTS",2010,125,1.0392734561,0.9725963072,1.1115525538,"GOMcod"
"2","MADMF spring BTS",2011,111,0.9580961322,0.89065606805,1.0177769568,"GOMcod"
"3","MADMF spring BTS",2012,98,1.02944012095,0.97136199925,1.091789543925,"GOMcod"
"4","MADMF spring BTS",2013,37,1.0242512312,0.9649038458,1.060880027,"GOMcod"
"5","MADMF spring BTS",2014,56,0.9383717152,0.888654544225,0.9954702228,"GOMcod"
"6","MADMF spring BTS",2015,51,1.0177964388,0.9385838839,1.04198300955,"GOMcod"
"7","MADMF spring BTS",2016,18,1.04028455075,0.9978378646,1.10223196505,"GOMcod"
"8","MADMF spring BTS",2017,35,0.9958353942,0.9380283349,1.0578606302,"GOMcod"
"9","MADMF spring BTS",2018,35,1.0396416629,0.98184062675,1.1000058294,"GOMcod"
"10","NMFS fall BTS",1992,96,1.0176650897,0.94109037015,1.06509135475,"GOMcod"
"11","NMFS fall BTS",1993,109,1.0350479028,0.9823252128,1.0882692385,"GOMcod"
"12","NMFS fall BTS",1994,112,1.0171786348,0.947643426,1.08156264995,"GOMcod"
"13","NMFS fall BTS",1995,114,1.016739289,0.962979568375,1.076231741375,"GOMcod"
"14","NMFS fall BTS",1996,83,0.9899974343,0.93983945425,1.0509013706,"GOMcod"
"15","NMFS fall BTS",1997,40,0.9715846328,0.927303543975,1.045959545325,"GOMcod"
"16","NMFS fall BTS",1998,70,1.01756186775,0.952703598875,1.073355782475,"GOMcod"
"17","NMFS fall BTS",1999,168,1.02359782745,0.9691475464,1.088093882225,"GOMcod"
"18","NMFS fall BTS",2000,124,0.98443368765,0.94053838415,1.053946814275,"GOMcod"
"19","NMFS fall BTS",2001,76,0.9906332771,0.9188862165,1.056277522175,"GOMcod"
"20","NMFS fall BTS",2002,115,1.0182445895,0.9484166975,1.0885557191,"GOMcod"
"21","NMFS fall BTS",2003,150,0.99378522445,0.939847677425,1.058436107825,"GOMcod"
"22","NMFS fall BTS",2004,111,0.9777442644,0.9026739678,1.06322099355,"GOMcod"
"23","NMFS fall BTS",2005,114,0.9693847289,0.9106581797,1.0238782139,"GOMcod"
"24","NMFS fall BTS",2006,227,0.9669942638,0.9182136875,1.03603629535,"GOMcod"
"25","NMFS fall BTS",2007,104,0.9753685523,0.930438430575,1.026995123075,"GOMcod"
"26","NMFS fall BTS",2008,169,1.0011545129,0.9365877931,1.0706703721,"GOMcod"
"27","NMFS fall BTS",2009,184,1.01234439265,0.941994866525,1.0883279156,"GOMcod"
"28","NMFS fall BTS",2010,142,0.9543569146,0.89322001525,1.002735447275,"GOMcod"
"29","NMFS fall BTS",2011,168,0.9626021311,0.8979767932,1.030013330525,"GOMcod"
"30","NMFS fall BTS",2012,88,0.9996070345,0.9592268514,1.0879472078,"GOMcod"
"31","NMFS fall BTS",2013,117,0.9977922976,0.9588530586,1.0726234698,"GOMcod"
"32","NMFS fall BTS",2014,147,1.0809898456,0.9946326059,1.15695427635,"GOMcod"
"33","NMFS fall BTS",2015,71,1.0127976148,0.9562868765,1.0747004115,"GOMcod"
"34","NMFS fall BTS",2016,231,0.9946839103,0.9422079836,1.06683351285,"GOMcod"
"35","NMFS fall BTS",2017,138,0.99574461945,0.92112545535,1.074933894625,"GOMcod"
"36","NMFS fall BTS",2018,80,1.02153536925,0.9705940804,1.0813891679,"GOMcod"
"37","NMFS spring BTS",1992,114,1.01553801245,0.945549992475,1.08424484225,"GOMcod"
"38","NMFS spring BTS",1993,112,0.980791368,0.9243409117,1.030952129,"GOMcod"
"39","NMFS spring BTS",1994,107,0.9996028397,0.94926669775,1.0653346494,"GOMcod"
"40","NMFS spring BTS",1995,74,1.00619438905,0.94421746865,1.079827366425,"GOMcod"
"41","NMFS spring BTS",1996,119,1.0147432116,0.94219270555,1.0620681028,"GOMcod"
"42","NMFS spring BTS",1997,125,0.978114641,0.919616284,1.0677267612,"GOMcod"
"43","NMFS spring BTS",1998,130,1.0228256056,0.951005688275,1.098931119275,"GOMcod"
"44","NMFS spring BTS",1999,157,1.0327258188,0.9588800787,1.0898545864,"GOMcod"
"45","NMFS spring BTS",2000,158,1.04347328305,0.981923469825,1.1183898683,"GOMcod"
"46","NMFS spring BTS",2001,128,1.03568190685,0.962710289375,1.106991232075,"GOMcod"
"47","NMFS spring BTS",2002,264,0.97028208125,0.90912294205,1.0213488873,"GOMcod"
"48","NMFS spring BTS",2003,279,0.9888935841,0.92109871355,1.059622265,"GOMcod"
"49","NMFS spring BTS",2004,70,0.9518100413,0.8948374712,1.0155085716,"GOMcod"
"50","NMFS spring BTS",2005,106,0.9522201547,0.8999873904,1.01107913785,"GOMcod"
"51","NMFS spring BTS",2006,129,0.9439773691,0.8859401582,1.0099907623,"GOMcod"
"52","NMFS spring BTS",2007,217,0.9845570802,0.9008796686,1.064166512,"GOMcod"
"53","NMFS spring BTS",2008,140,0.9945482442,0.935312987975,1.066852101425,"GOMcod"
