SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,AGE,NO_AT_AGE,ALK_COMPLETE,STRATA_SAMPLING_COMPLETE
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,0,0.7428,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,1,0.9387,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,2,0.254,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,3,0.5204,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,4,0.3361,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,5,0.4867,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,6,0.4239,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,7,0.8364,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,8,0.1302,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,9,0.0896,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,10,0.0368,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,11,0.0372,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1970,12,0.0726,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,0,1.3187,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,1,0.2075,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,2,0.2238,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,3,0.1904,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,4,0.6069,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,5,0.4436,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,6,0.5086,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,7,0.2216,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,8,0.2797,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,9,0.1935,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,10,0.0306,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,11,0.0399,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1971,12,0.0966,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1972,0,0.0314,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1972,1,5.6628,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1972,2,1.118,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1972,3,1.5946,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1972,4,0.1812,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1972,5,0.0718,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1972,6,0.1223,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1972,7,0.0314,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1972,8,0.1206,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1972,9,0.351,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1972,14,0.0157,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,0,0.6382,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,1,0.3272,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,2,2.1465,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,3,0.1786,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,4,0.5398,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,5,0.1909,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,6,0.0554,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,7,0.018,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,8,0.0389,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,9,0.1821,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,10,0.1218,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1973,13,0.0157,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1974,0,0.2653,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1974,1,1.1307,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1974,2,0.2668,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1974,3,1.9223,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1974,4,0.1248,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1974,5,0.2756,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1974,7,0.0523,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1974,8,0.0355,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1974,9,0.0661,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1974,11,0.1199,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1974,14,0.0689,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1975,0,0.0059,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1975,1,0.2235,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1975,2,3.0279,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1975,3,0.1387,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1975,4,2.3543,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1975,5,0.2503,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1975,6,0.1048,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1975,7,0.0199,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1975,11,0.0059,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1975,12,0.0118,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1976,1,0.2088,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1976,2,0.2157,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1976,3,0.5783,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1976,4,0.1041,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1976,5,0.8348,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1976,6,0.0437,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1976,7,0.0988,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1976,10,0.0633,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,1,0.0463,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,2,0.4458,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,3,0.456,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,4,1.1506,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,5,0.1327,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,6,0.6039,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,7,0.0244,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,8,0.0828,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,9,0.0207,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,10,0.0611,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,12,0.022,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1977,13,0.0259,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,0,0.2412,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,1,1.4107,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,2,0.359,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,3,1.141,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,4,0.6608,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,5,1.4496,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,6,0.1004,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,7,0.2694,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,8,0.0117,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,9,0.0824,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,11,0.0187,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1978,13,0.0282,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1979,1,0.3638,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1979,2,0.617,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1979,3,0.1311,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1979,4,0.6956,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1979,5,0.3192,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1979,6,0.7544,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1979,7,0.0562,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1979,8,0.1347,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1979,10,0.0526,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1979,14,0.0047,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1979,15,0.0131,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,0,0.0273,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,1,1.3187,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,2,2.5583,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,3,1.6637,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,4,0.5174,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,5,0.236,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,6,0.4016,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,7,0.1917,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,8,0.0221,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,9,0.0124,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,11,0.0489,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,13,0.014,Y,Y
164712,GOM,NONE,10,NMFS fall BTS,FALL,1980,16,0.0221,Y,Y
