SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,AGE,NO_AT_AGE,ALK_COMPLETE,STRATA_SAMPLING_COMPLETE
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1963,0,0.1482,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1963,1,0.9162,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1963,2,1.3743,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1963,3,1.4625,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1963,4,0.9797,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1963,5,0.3664,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1963,6,0.075,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1963,7,0.0051,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1963,8,0.0113,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1963,9,0.0103,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1963,10,0.1197,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1964,0,0.0128,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1964,1,0.1332,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1964,2,0.44,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1964,3,0.5639,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1964,4,0.3459,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1964,5,0.1373,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1964,6,0.0801,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1964,7,0.0315,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1964,8,0.0108,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1964,9,0.0084,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1964,10,0.1098,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1965,0,0.0395,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1965,1,0.3595,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1965,2,1.2754,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1965,3,1.2197,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1965,4,0.5948,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1965,5,0.3683,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1965,6,0.1978,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1965,7,0.0357,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1965,8,0.0173,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1965,9,0.0071,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1965,10,0.0454,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1966,0,0.1135,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1966,1,0.9573,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1966,2,3.1449,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1966,3,1.9368,Y,Y
164732,UNIT,NONE,10,NMFS fall BTS,FALL,1966,4,0.8423,Y,Y
