"","SURVEY","YEAR","samp_size","medianK","P25","P75","stock"
"1","NMFS fall BTS",1992,171,1.0241171209,0.97067584775,1.0962120063,"GBhaddock"
"2","NMFS fall BTS",1993,175,1.0411971789,0.97497603375,1.0960445165,"GBhaddock"
"3","NMFS fall BTS",1994,139,0.9961573403,0.9514299894,1.0563419439,"GBhaddock"
"4","NMFS fall BTS",1995,247,0.999337329,0.9383119577,1.06593593735,"GBhaddock"
"5","NMFS fall BTS",1996,349,1.034658889,0.9793836922,1.1057868826,"GBhaddock"
"6","NMFS fall BTS",1997,373,1.0322672377,0.9803751382,1.0925171966,"GBhaddock"
"7","NMFS fall BTS",1998,544,1.0317356384,0.96253206995,1.096149465725,"GBhaddock"
"8","NMFS fall BTS",1999,258,1.05964909515,0.993938377775,1.11083227795,"GBhaddock"
"9","NMFS fall BTS",2000,253,1.0266279015,0.970410989,1.0815837672,"GBhaddock"
"10","NMFS fall BTS",2001,358,0.9798712347,0.91655243225,1.037778419225,"GBhaddock"
"11","NMFS fall BTS",2002,374,0.9823943391,0.93280317565,1.037854215975,"GBhaddock"
"12","NMFS fall BTS",2003,485,0.9914875162,0.9264894734,1.0600156357,"GBhaddock"
"13","NMFS fall BTS",2004,620,0.9417792956,0.894426173825,1.00201781405,"GBhaddock"
"14","NMFS fall BTS",2005,617,0.9507080435,0.8941166078,1.0109311678,"GBhaddock"
"15","NMFS fall BTS",2006,537,0.9756000636,0.9223925871,1.0307454189,"GBhaddock"
"16","NMFS fall BTS",2007,403,0.9946383483,0.94141956365,1.05048892115,"GBhaddock"
"17","NMFS fall BTS",2008,304,1.0488505442,0.9779071079,1.132478423225,"GBhaddock"
"18","NMFS fall BTS",2009,577,1.0032179151,0.9493703719,1.0653018714,"GBhaddock"
"19","NMFS fall BTS",2010,943,0.9594128432,0.894425992,1.043646763,"GBhaddock"
"20","NMFS fall BTS",2011,931,0.9794641434,0.9179767004,1.04852945395,"GBhaddock"
"21","NMFS fall BTS",2012,594,1.00148530745,0.95323019835,1.0596488316,"GBhaddock"
"22","NMFS fall BTS",2013,987,1.0286241968,0.95963449295,1.1017665484,"GBhaddock"
"23","NMFS fall BTS",2014,980,1.01389534495,0.950237419275,1.07497483585,"GBhaddock"
"24","NMFS fall BTS",2015,1046,1.027040264,0.9596200976,1.106461611025,"GBhaddock"
"25","NMFS fall BTS",2016,960,0.9990476703,0.92834248195,1.070626032425,"GBhaddock"
"26","NMFS fall BTS",2017,436,0.9901630959,0.9274295566,1.055972242975,"GBhaddock"
"27","NMFS fall BTS",2018,534,1.02205057,0.95755486385,1.102081044775,"GBhaddock"
"28","NMFS spring BTS",1992,100,1.0486027002,0.988809298075,1.125731329225,"GBhaddock"
"29","NMFS spring BTS",1993,153,1.0650770664,1.0071251164,1.1227169357,"GBhaddock"
"30","NMFS spring BTS",1994,123,1.0611685267,0.99044569535,1.1128402314,"GBhaddock"
"31","NMFS spring BTS",1995,208,1.07550926585,1.034403404875,1.129448507875,"GBhaddock"
"32","NMFS spring BTS",1996,342,1.09207394595,1.0412555316,1.15274942335,"GBhaddock"
"33","NMFS spring BTS",1997,485,1.0593700033,0.9966176953,1.108071003,"GBhaddock"
"34","NMFS spring BTS",1998,211,1.0529777262,1.0030882735,1.11260305,"GBhaddock"
"35","NMFS spring BTS",1999,322,1.05569769335,0.9891212397,1.1173907553,"GBhaddock"
"36","NMFS spring BTS",2000,282,1.0974150505,1.041042889825,1.15391739895,"GBhaddock"
"37","NMFS spring BTS",2001,292,1.0013351044,0.9429653519,1.056184341,"GBhaddock"
"38","NMFS spring BTS",2002,447,0.9926406563,0.93364158865,1.05889395085,"GBhaddock"
"39","NMFS spring BTS",2003,296,0.9930311881,0.93319770785,1.046529367225,"GBhaddock"
"40","NMFS spring BTS",2004,475,0.9347787708,0.8589834687,0.9978639526,"GBhaddock"
"41","NMFS spring BTS",2005,533,0.9451381121,0.8899933338,0.9998162292,"GBhaddock"
"42","NMFS spring BTS",2006,444,0.96549751025,0.9024955023,1.01956553245,"GBhaddock"
"43","NMFS spring BTS",2007,536,1.00248289325,0.954677687725,1.06180453485,"GBhaddock"
"44","NMFS spring BTS",2008,403,0.9838795521,0.9401051501,1.04324652065,"GBhaddock"
"45","NMFS spring BTS",2009,431,1.0082481326,0.95232112095,1.06173222025,"GBhaddock"
"46","NMFS spring BTS",2010,671,0.9834987314,0.93237048935,1.04143329505,"GBhaddock"
"47","NMFS spring BTS",2011,716,0.9528549021,0.8943972673,1.021032330475,"GBhaddock"
"48","NMFS spring BTS",2012,831,0.9999815492,0.9452346447,1.054728198,"GBhaddock"
"49","NMFS spring BTS",2013,838,0.9888851606,0.933777371225,1.047633065375,"GBhaddock"
"50","NMFS spring BTS",2014,1085,1.0216188875,0.9597303859,1.0799372412,"GBhaddock"
"51","NMFS spring BTS",2015,1603,0.9935129673,0.93800163685,1.0526276496,"GBhaddock"
"52","NMFS spring BTS",2016,1399,1.0160311393,0.9589189436,1.0812971671,"GBhaddock"
"53","NMFS spring BTS",2017,1387,0.961955053,0.9026581506,1.0243976117,"GBhaddock"
"54","NMFS spring BTS",2018,808,1.01429374975,0.948235551425,1.090461452475,"GBhaddock"
