"","SPECIES_ITIS","STOCK_ABBREV","SEX_TYPE","SURVEY","PURPOSE_CODE","SEASON","YEAR","AGE","SAMP_SIZE","MEAN","MEDIAN","STD_DEV","STD_ERROR","P25","P75","MIN","MAX","STRATA_SAMPLING_COMPLETE"
"1",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,5,63,59.301587302,60,4.6581005427,0.5868655056,56,63,47,68,"Y"
"2",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,3,29,47.965517241,47,4.6096386488,0.8559884078,44,51,41,56,"Y"
"3",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,6,26,63.576923077,63,5.0372458898,0.9878851956,59,67,55,75,"Y"
"4",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,2,18,41.166666667,41,4.3419973718,1.0234185952,38,46,33,48,"Y"
"5",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,10,4,71.75,71.5,3.8622100754,1.9311050377,68.5,75,68,76,"Y"
"6",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,0,3,20,20,0,0,20,20,20,20,"Y"
"7",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,8,13,67.846153846,67,2.7642405179,0.7666623789,66,69,65,74,"Y"
"8",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,1,66,28.636363636,28,3.0616052282,0.3768575523,27,31,21,37,"Y"
"9",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,13,1,78,78,NA,NA,78,78,78,78,"Y"
"10",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,7,18,66.666666667,66,3.6782348708,0.8669682733,63,69,62,73,"Y"
"11",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,9,7,68.857142857,70,6.4402011208,2.4341672227,68,73,55,74,"Y"
"12",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1963,4,72,54.472222222,54,5.8163737365,0.6854662185,50,58.5,43,68,"Y"
"13",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1964,7,8,67,68,4.7509397567,1.6797108595,62.5,69.5,61,75,"Y"
"14",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1964,5,23,57.869565217,58,6.7642398473,1.4104415083,53,63,45,69,"Y"
"15",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1964,2,43,40.279069767,42,5.6959700934,0.8686272959,36,45,31,49,"Y"
"16",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1964,1,20,30.75,32,3.5670273633,0.7976115662,29,33,20,35,"Y"
"17",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1964,4,9,56.888888889,57,3.6552853666,1.2184284555,54,60,51,61,"Y"
"18",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1964,3,17,46.647058824,46,3.806920942,0.9233139501,44,48,42,56,"Y"
"19",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1964,9,2,77,77,11.313708499,8,69,85,69,85,"Y"
"20",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1964,0,1,16,16,NA,NA,16,16,16,16,"Y"
"21",164744,"GOM","NONE","NMFS fall BTS",10,"FALL",1964,6,17,62.294117647,63,4.4125489499,1.0702003176,59,65,54,69,"Y"
