"","SURVEY","YEAR","samp_size","medianK","P25","P75","stock"
"1","MADMF spring BTS",2015,15,0.9826230944,0.9283728827,1.14365977045,"plaice"
"2","NMFS fall BTS",1992,445,1.0150291715,0.9426971397,1.0896218352,"plaice"
"3","NMFS fall BTS",1993,544,1.06098365435,0.990134439725,1.1451310818,"plaice"
"4","NMFS fall BTS",1994,464,1.0283022629,0.9537146518,1.118419680925,"plaice"
"5","NMFS fall BTS",1995,464,0.992036805,0.915708873875,1.079130853875,"plaice"
"6","NMFS fall BTS",1996,421,1.0059729889,0.9381878798,1.0823252984,"plaice"
"7","NMFS fall BTS",1997,481,1.0365775178,0.9600308594,1.1236725175,"plaice"
"8","NMFS fall BTS",1998,532,1.0285674063,0.9502286704,1.125506672575,"plaice"
"9","NMFS fall BTS",1999,713,1.0206589855,0.9448404977,1.0993258385,"plaice"
"10","NMFS fall BTS",2000,449,0.9899037192,0.9083822364,1.0681795848,"plaice"
"11","NMFS fall BTS",2001,406,0.9695873272,0.907107802475,1.0382521809,"plaice"
"12","NMFS fall BTS",2002,458,0.94731264345,0.894614463275,1.022271908075,"plaice"
"13","NMFS fall BTS",2003,408,0.9461613366,0.859858476125,1.0248498014,"plaice"
"14","NMFS fall BTS",2004,288,0.93222123555,0.862762022825,1.001279477225,"plaice"
"15","NMFS fall BTS",2005,366,0.9405033627,0.863616359575,1.0181259835,"plaice"
"16","NMFS fall BTS",2006,599,0.914520899,0.8361333934,0.99984838155,"plaice"
"17","NMFS fall BTS",2007,495,0.9363937646,0.86265747595,1.007715352,"plaice"
"18","NMFS fall BTS",2008,560,0.9194801205,0.8501526059,0.998561615,"plaice"
"19","NMFS fall BTS",2009,661,0.9494367218,0.8810409786,1.0397394923,"plaice"
"20","NMFS fall BTS",2010,629,0.9669086721,0.8824573791,1.058231326,"plaice"
"21","NMFS fall BTS",2011,666,0.9755473519,0.9023430823,1.053324790775,"plaice"
"22","NMFS fall BTS",2012,663,1.0190375732,0.94200729825,1.1143302829,"plaice"
"23","NMFS fall BTS",2013,593,1.0493149915,0.9667792361,1.1298626674,"plaice"
"24","NMFS fall BTS",2014,779,1.0397394923,0.9499855429,1.1371220251,"plaice"
"25","NMFS fall BTS",2015,1111,1.0397863907,0.9733063804,1.12395931755,"plaice"
"26","NMFS fall BTS",2016,853,1.0500395132,0.9820977993,1.1389377894,"plaice"
"27","NMFS fall BTS",2017,322,1.0034094971,0.931827315825,1.077296215225,"plaice"
"28","NMFS fall BTS",2018,446,0.99589558505,0.931970950625,1.088787491375,"plaice"
"29","NMFS spring BTS",1992,351,1.0134936116,0.943098953,1.11543544005,"plaice"
"30","NMFS spring BTS",1993,363,1.0205802484,0.95373858415,1.0975010967,"plaice"
"31","NMFS spring BTS",1994,373,1.0325263554,0.9749571168,1.113360271,"plaice"
"32","NMFS spring BTS",1995,512,0.99249840275,0.9225939953,1.069575185525,"plaice"
"33","NMFS spring BTS",1996,376,1.0040614294,0.9363386102,1.08932353745,"plaice"
"34","NMFS spring BTS",1997,357,1.0182517975,0.9469623102,1.0866682035,"plaice"
"35","NMFS spring BTS",1998,440,1.03336797505,0.9614633428,1.1081624944,"plaice"
"36","NMFS spring BTS",1999,335,1.0297680762,0.96783293665,1.1129231455,"plaice"
"37","NMFS spring BTS",2000,487,1.0296803305,0.9539660644,1.1104385524,"plaice"
"38","NMFS spring BTS",2001,483,0.9772421038,0.9065989533,1.0535741106,"plaice"
"39","NMFS spring BTS",2002,516,0.97717035,0.9144552385,1.049557853625,"plaice"
"40","NMFS spring BTS",2003,388,0.95924959635,0.896109256525,1.038316763575,"plaice"
"41","NMFS spring BTS",2004,378,0.93461272975,0.862824172925,0.996631067725,"plaice"
"42","NMFS spring BTS",2005,301,0.9405886428,0.8728129357,1.0302983707,"plaice"
"43","NMFS spring BTS",2006,579,0.9337573221,0.8601023019,1.00589879605,"plaice"
"44","NMFS spring BTS",2007,554,0.94641014795,0.8728129357,1.013480010925,"plaice"
"45","NMFS spring BTS",2008,510,0.97988351475,0.905036409325,1.0547783178,"plaice"
"46","NMFS spring BTS",2009,910,0.9537500281,0.88059137165,1.045040711925,"plaice"
"47","NMFS spring BTS",2010,812,0.9588209257,0.8889076133,1.04247632065,"plaice"
"48","NMFS spring BTS",2011,600,0.96075959105,0.891826389725,1.055240158175,"plaice"
"49","NMFS spring BTS",2012,903,1.0094905201,0.9234532165,1.0989220309,"plaice"
"50","NMFS spring BTS",2013,664,1.0369406278,0.9469623102,1.1266678407,"plaice"
"51","NMFS spring BTS",2014,813,1.0218750301,0.9382934202,1.116199921,"plaice"
"52","NMFS spring BTS",2015,990,1.0310864225,0.96531041115,1.12562069305,"plaice"
"53","NMFS spring BTS",2016,1035,1.0237264383,0.9465603076,1.10109684165,"plaice"
"54","NMFS spring BTS",2017,827,1.0093558412,0.93656315315,1.09510086845,"plaice"
"55","NMFS spring BTS",2018,428,0.9902652045,0.923598954025,1.0897969495,"plaice"
