"","SURVEY","YEAR","samp_size","medianK","P25","P75","stock"
"1","MADMF spring BTS",2010,278,0.9914723116,0.91535195205,1.097600818675,"SNEMAwinter"
"2","MADMF spring BTS",2011,171,1.009174298,0.92985527555,1.08303868015,"SNEMAwinter"
"3","MADMF spring BTS",2012,238,1.03071962525,0.944385465475,1.105302733025,"SNEMAwinter"
"4","MADMF spring BTS",2013,236,1.0154151095,0.9364634941,1.1175090481,"SNEMAwinter"
"5","MADMF spring BTS",2014,217,0.9956283343,0.9157870769,1.0712348824,"SNEMAwinter"
"6","MADMF spring BTS",2015,171,1.0124383475,0.93792077625,1.08504853235,"SNEMAwinter"
"7","MADMF spring BTS",2016,265,0.9991719501,0.914846048,1.0965961926,"SNEMAwinter"
"8","MADMF spring BTS",2017,187,0.9874539538,0.9066634301,1.0843928674,"SNEMAwinter"
"9","MADMF spring BTS",2018,223,0.9910832186,0.91242853195,1.08694547205,"SNEMAwinter"
"10","NMFS fall BTS",1992,140,0.9953996325,0.9474691543,1.0563086565,"SNEMAwinter"
"11","NMFS fall BTS",1993,92,1.01740255865,0.955681732525,1.068443658175,"SNEMAwinter"
"12","NMFS fall BTS",1994,198,1.0046309839,0.9501239466,1.065836490825,"SNEMAwinter"
"13","NMFS fall BTS",1995,137,0.9821318368,0.9331631908,1.0426017184,"SNEMAwinter"
"14","NMFS fall BTS",1996,169,1.0087375152,0.9473720156,1.0651939533,"SNEMAwinter"
"15","NMFS fall BTS",1997,233,0.9872014697,0.9434244497,1.0387000173,"SNEMAwinter"
"16","NMFS fall BTS",1998,317,1.0049521312,0.9477155012,1.0635711261,"SNEMAwinter"
"17","NMFS fall BTS",1999,202,1.019388717,0.95989276775,1.080867226425,"SNEMAwinter"
"18","NMFS fall BTS",2000,200,0.99839382295,0.955522568825,1.0595523071,"SNEMAwinter"
"19","NMFS fall BTS",2001,140,0.9847258455,0.921364454375,1.05346878145,"SNEMAwinter"
"20","NMFS fall BTS",2002,277,0.9486924204,0.8955114706,1.0109399988,"SNEMAwinter"
