SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,AGE,NO_AT_AGE,ALK_COMPLETE,STRATA_SAMPLING_COMPLETE
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1976,1,0.0577,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1976,2,0.8349,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1976,3,0.9825,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1976,4,0.3903,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1976,5,0.2606,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1976,6,0.1331,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1976,7,0.0511,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1976,8,0.0702,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1980,1,0.9956,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1980,2,5.4705,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1980,3,2.8801,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1980,4,0.4167,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1981,1,2.1134,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1981,2,6.0125,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1981,3,2.3107,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1981,4,0.2822,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1981,5,0.0249,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1981,7,0.0223,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1982,1,0.8646,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1982,2,2.291,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1982,3,1.2032,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1982,4,0.4891,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1982,5,0.0624,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1982,6,0.023,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1983,1,1.7951,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1983,2,4.4652,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1983,3,2.38,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1983,4,0.6452,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1983,5,0.3816,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1983,6,0.1019,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1983,7,0.0695,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1983,8,0.0981,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1983,9,0.0192,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1984,1,0.1778,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1984,2,0.9784,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1984,3,1.2482,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1984,4,0.276,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1984,5,0.0021,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1984,6,0.0084,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1984,7,0.0042,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1985,1,0.0487,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1985,2,1.0602,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1985,3,0.9359,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1985,4,0.2447,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1985,5,0.1099,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1986,1,0.2487,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1986,2,1.0007,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1986,3,0.2824,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1986,4,0.0286,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1986,5,0.0058,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1987,1,0.043,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1987,2,0.7622,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1987,3,0.3908,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1987,4,0.1292,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1987,5,0.0223,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1988,1,0.0275,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1988,2,0.3321,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1988,3,0.5277,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1988,4,0.2227,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1988,5,0.0342,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1988,7,0.0072,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1988,8,0.0044,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1989,1,0.2792,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1989,2,0.8308,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1989,3,0.3751,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1989,4,0.0611,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1989,5,0.0157,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1990,1,0.076,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1990,2,0.9416,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1990,3,0.913,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1990,4,0.1673,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1990,5,0.01,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1990,7,0.0013,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1991,1,0.0445,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1991,2,1.1491,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1991,3,0.8311,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1991,4,0.1094,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1991,5,0.0154,N,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1992,1,0.1935,Y,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1992,2,1.8724,Y,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1992,3,0.969,Y,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1992,4,0.2539,Y,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1992,5,0.0253,Y,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1992,6,0.0058,Y,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1993,1,0.3834,Y,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1993,2,0.5219,Y,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1993,3,0.3477,Y,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1993,4,0.0656,Y,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1993,7,0.0026,Y,Y
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1994,1,0.4853,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1994,2,2.5425,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1994,3,1.236,N,N
172905,SNEMA,NONE,10,NMFS fall BTS,FALL,1994,4,0.3746,N,N
