"","SPECIES_ITIS","STOCK_ABBREV","SEX_TYPE","SURVEY","PURPOSE_CODE","SEASON","YEAR","AGE","SAMP_SIZE","MEAN","MEDIAN","STD_DEV","STD_ERROR","P25","P75","MIN","MAX","STRATA_SAMPLING_COMPLETE"
"1",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1978,3,21,36.571428571,37,3.90603928,0.8523676509,35,39,25,42,"N"
"2",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1978,2,59,27.661016949,28,3.98103335,0.5182863964,25,31,16,35,"N"
"3",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1978,6,1,45,45,NA,NA,45,45,45,45,"N"
"4",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1978,4,2,45,45,4.2426406871,3,42,48,42,48,"N"
"5",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1978,1,52,17.365384615,17.5,3.3374220775,0.4628171703,15,20.5,9,24,"N"
"6",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1979,0,1,15,15,NA,NA,15,15,15,15,"Y"
"7",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1979,1,37,17.27027027,17,1.7582922373,0.2890614632,16,18,13,21,"Y"
"8",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1979,3,4,38.75,38.5,2.5,1.25,37,40.5,36,42,"Y"
"9",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1979,2,48,28.25,29,2.7714348385,0.4000221625,27,30,22,33,"Y"
"10",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1980,2,63,29.746031746,30,2.9125327298,0.3669446328,28,32,23,37,"Y"
"11",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1980,3,16,35.875,37,3.1384709653,0.7846177413,34,38,29,41,"Y"
"12",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1980,4,1,37,37,NA,NA,37,37,37,37,"Y"
"13",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1980,1,73,17.945205479,18,3.1617963027,0.3700602665,15,20,12,24,"Y"
"14",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1994,3,20,33.7,34,2.4730122268,0.5529823448,32,35.5,28,38,"Y"
"15",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1994,1,21,18,18,2.7386127875,0.5976143047,16,20,12,23,"Y"
"16",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1994,2,69,28.753623188,29,3.2285755241,0.3886748187,27,31,22,36,"Y"
"17",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1994,4,1,37,37,NA,NA,37,37,37,37,"Y"
"18",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1995,3,27,33.703703704,34,3.302852087,0.6356341805,31,37,27,39,"Y"
"19",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1995,2,59,28.525423729,28,3.3751420517,0.4394060681,26,31,23,37,"Y"
"20",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1995,1,44,19.340909091,19,2.844359427,0.4288033176,17,21.5,14,24,"Y"
"21",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1996,1,16,16.3125,16.5,2.8453177913,0.7113294478,14.5,18,11,22,"Y"
"22",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1996,2,53,28.735849057,29,2.7676075714,0.3801601368,27,31,23,35,"Y"
"23",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1996,4,3,35,36,1.7320508076,1,33,36,33,36,"Y"
"24",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1996,3,36,32.416666667,32,2.2975141846,0.3829190308,30.5,34,27,37,"Y"
"25",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1997,2,87,28.643678161,29,2.7236134151,0.2920020082,27,31,21,34,"Y"
"26",172909,"CCGOM","NONE","MADMF fall BTS",11,"FALL",1997,1,30,20.033333333,20,1.5643293888,0.2856061645,19,21,17,23,"Y"
