"","SURVEY","YEAR","samp_size","medianK","P25","P75","stock"
"1","MADMF fall BTS",2010,295,0.9735586694,0.9099738506,1.05924290195,"CCGOMyt"
"2","MADMF fall BTS",2011,208,0.96756250395,0.896994507,1.0292032053,"CCGOMyt"
"3","MADMF fall BTS",2012,155,1.0052465133,0.9429501939,1.081452624,"CCGOMyt"
"4","MADMF fall BTS",2013,185,0.9698285595,0.8929008689,1.0483437006,"CCGOMyt"
"5","MADMF fall BTS",2014,198,1.0076437056,0.950104102,1.080843330475,"CCGOMyt"
"6","MADMF fall BTS",2015,251,1.0019632328,0.936505763,1.0885417952,"CCGOMyt"
"7","MADMF fall BTS",2016,154,0.9777801577,0.9271161496,1.05896134945,"CCGOMyt"
"8","MADMF fall BTS",2017,294,1.023630116,0.938168264425,1.095056234325,"CCGOMyt"
"9","MADMF fall BTS",2018,186,1.0433257748,0.9768820304,1.129051840725,"CCGOMyt"
"10","MADMF spring BTS",2010,425,1.0189736817,0.953123131,1.1167708741,"CCGOMyt"
"11","MADMF spring BTS",2011,285,0.9972540993,0.9295730168,1.083397795,"CCGOMyt"
"12","MADMF spring BTS",2012,168,1.0217088917,0.95589777115,1.1183303137,"CCGOMyt"
"13","MADMF spring BTS",2013,201,1.0070166826,0.9455108029,1.0666143011,"CCGOMyt"
"14","MADMF spring BTS",2014,198,0.9747151428,0.910248022975,1.0569713115,"CCGOMyt"
"15","MADMF spring BTS",2015,249,1.0225458488,0.9427161645,1.0952157816,"CCGOMyt"
"16","MADMF spring BTS",2016,382,0.96009526025,0.896845818675,1.035847031975,"CCGOMyt"
"17","MADMF spring BTS",2017,278,0.9780283013,0.91705187015,1.04805294755,"CCGOMyt"
"18","MADMF spring BTS",2018,351,0.9892820229,0.90586280635,1.0572418118,"CCGOMyt"
"19","NMFS fall BTS",1992,101,1.0716539341,0.9854324883,1.1564001877,"CCGOMyt"
"20","NMFS fall BTS",1993,84,1.01702473535,0.973703332475,1.0925440949,"CCGOMyt"
"21","NMFS fall BTS",1994,102,1.05670237675,0.99023052375,1.108017527375,"CCGOMyt"
"22","NMFS fall BTS",1995,37,1.0696828719,0.954788686,1.1133187013,"CCGOMyt"
"23","NMFS fall BTS",1996,103,1.0257456356,0.9434049806,1.09852503365,"CCGOMyt"
"24","NMFS fall BTS",1997,101,1.0242532052,0.9641836275,1.1083772776,"CCGOMyt"
"25","NMFS fall BTS",1998,106,1.0570858855,0.986936729825,1.13373431705,"CCGOMyt"
"26","NMFS fall BTS",1999,180,1.06842766945,1.007796319375,1.148571509125,"CCGOMyt"
"27","NMFS fall BTS",2000,179,1.004011047,0.9539441807,1.0671512896,"CCGOMyt"
"28","NMFS fall BTS",2001,77,0.985637016,0.933195367,1.0343652476,"CCGOMyt"
"29","NMFS fall BTS",2002,72,1.0058064797,0.9588613874,1.0636133535,"CCGOMyt"
"30","NMFS fall BTS",2003,107,1.038293266,0.9847447265,1.0967509915,"CCGOMyt"
"31","NMFS fall BTS",2004,47,0.9984648265,0.9522027558,1.05853269615,"CCGOMyt"
"32","NMFS fall BTS",2005,48,0.9641745599,0.909144709,1.04223686285,"CCGOMyt"
"33","NMFS fall BTS",2006,108,0.97704707075,0.927595451425,1.06275721105,"CCGOMyt"
"34","NMFS fall BTS",2007,95,0.9911231734,0.93247981865,1.07792854755,"CCGOMyt"
"35","NMFS fall BTS",2008,223,0.9406401025,0.90111186405,1.0060349039,"CCGOMyt"
"36","NMFS fall BTS",2009,1313,1.0121079103,0.943902969,1.080921142,"CCGOMyt"
"37","NMFS fall BTS",2010,148,0.9608452347,0.902630259725,1.0109902257,"CCGOMyt"
"38","NMFS fall BTS",2011,333,0.9895756934,0.929484031,1.0361226292,"CCGOMyt"
"39","NMFS fall BTS",2012,252,1.0296399261,0.970722947,1.07957136265,"CCGOMyt"
"40","NMFS fall BTS",2013,289,0.9773963002,0.922589031,1.0491942067,"CCGOMyt"
"41","NMFS fall BTS",2014,341,1.004011047,0.9359725129,1.0748314454,"CCGOMyt"
"42","NMFS fall BTS",2015,360,0.9819801417,0.9053387889,1.0525922267,"CCGOMyt"
"43","NMFS fall BTS",2016,393,0.9749802342,0.9108971193,1.0580946065,"CCGOMyt"
"44","NMFS fall BTS",2017,277,0.9805426326,0.9092854324,1.0593953155,"CCGOMyt"
"45","NMFS fall BTS",2018,379,0.9828125216,0.91123270625,1.05596017345,"CCGOMyt"
"46","NMFS spring BTS",1992,70,1.00911722365,0.9656317436,1.097637228075,"CCGOMyt"
"47","NMFS spring BTS",1993,58,1.0508710741,0.977935091025,1.092342650675,"CCGOMyt"
"48","NMFS spring BTS",1994,110,1.0212321612,0.957202766225,1.09710111645,"CCGOMyt"
