SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,AGE,NO_AT_AGE,ALK_COMPLETE,STRATA_SAMPLING_COMPLETE
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1963,1,4.8853,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1963,2,4.8261,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1963,3,7.4708,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1963,4,1.0087,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1963,5,0.4176,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1963,6,0.0326,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1963,7,0.0652,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1965,1,0.4036,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1965,2,3.1588,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1965,3,1.1862,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1965,4,0.1462,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1966,1,3.1969,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1966,2,1.3257,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1966,3,1.4133,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1966,4,0.1706,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1966,5,0.078,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1966,6,0.2486,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1966,7,0.0585,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1967,1,0.1754,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1967,2,0.3802,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1967,3,0.3656,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1967,4,0.0439,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1970,1,1.0036,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1970,2,0.1824,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1970,3,0.2737,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1970,5,0.1825,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1970,7,0.0912,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1970,9,0.0912,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1971,1,1.1176,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1971,2,0.3095,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1971,3,0.3117,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1971,4,0.243,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1971,5,0.0675,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1971,6,0.0675,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1971,7,0.0675,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1971,8,0.0912,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1972,1,2.5879,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1972,2,8.5272,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1972,3,3.7918,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1972,4,1.8375,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1972,5,0.4438,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1972,6,0.3544,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1972,7,0.2667,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1973,1,0.3562,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1973,2,0.7908,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1973,3,0.8699,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1973,4,0.3023,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1973,5,0.1439,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1973,9,0.0895,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1973,12,0.0439,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1974,2,0.0439,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1974,4,0.1317,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1974,5,0.1097,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1974,6,0.0219,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1975,2,0.5709,N,N
172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1975,3,0.1047,N,N
