"","SPECIES_ITIS","STOCK_ABBREV","SEX_TYPE","SURVEY","PURPOSE_CODE","SEASON","YEAR","AGE","SAMP_SIZE","MEAN","MEDIAN","STD_DEV","STD_ERROR","P25","P75","MIN","MAX","STRATA_SAMPLING_COMPLETE"
"1",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1963,4,108,38.351851852,39,2.7558427814,0.2651810953,36,40,32,44,"Y"
"2",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1963,5,20,40.35,40.5,1.9808291725,0.4429268681,39.5,41,35,45,"Y"
"3",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1963,7,1,45,45,NA,NA,45,45,45,45,"Y"
"4",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1963,6,3,43.666666667,43,2.0816659995,1.2018504252,42,46,42,46,"Y"
"5",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1963,1,215,25.018604651,25,1.6799054009,0.1145685974,24,26,19,30,"Y"
"6",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1963,8,1,47,47,NA,NA,47,47,47,47,"Y"
"7",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1963,3,154,37.181818182,38,2.3078568432,0.1859724042,36,39,31,42,"Y"
"8",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1963,2,197,33.629441624,34,1.6932477527,0.1206389073,33,35,30,38,"Y"
"9",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1964,5,25,40.8,41,2.2912878475,0.4582575695,39,43,36,45,"Y"
"10",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1964,6,6,42.5,41.5,3.3911649916,1.3844373105,40,45,39,48,"Y"
"11",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1964,1,101,22.891089109,23,1.9333959248,0.1923800849,22,24,18,29,"Y"
"12",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1964,3,30,36.9,37.5,2.6954623428,0.4921218427,35,39,33,44,"Y"
"13",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1964,4,49,38.06122449,38,2.7111510722,0.387307296,36,40,31,45,"Y"
"14",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1964,2,166,32.295180723,32,1.9856090503,0.1541131508,31,33,23,37,"Y"
"15",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1965,5,12,43.166666667,43.5,1.5275252317,0.4409585518,42,44.5,41,45,"Y"
"16",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1965,1,32,22.15625,22,2.985009591,0.5276801309,20,25,18,29,"Y"
"17",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1965,2,84,32.80952381,33,2.7615090622,0.3013053407,31,35,24,39,"Y"
"18",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1965,3,36,37.111111111,37,2.3025176007,0.3837529335,36,38,32,42,"Y"
"19",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1965,6,1,44,44,NA,NA,44,44,44,44,"Y"
"20",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1965,4,12,41.333333333,41,2.6742316937,0.7719841941,39.5,42.5,37,46,"Y"
"21",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1966,2,87,32.620689655,32,2.1525613694,0.2307788026,31,34,29,38,"Y"
"22",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1966,1,29,22.862068966,22,3.3777014366,0.6272234105,20,25,18,30,"Y"
"23",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1966,5,2,44,44,2.8284271247,2,42,46,42,46,"Y"
"24",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1966,3,27,38.222222222,39,2.5318484177,0.4872544552,37,40,30,42,"Y"
"25",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1966,4,9,41.666666667,42,2.2360679775,0.7453559925,41,43,38,45,"Y"
"26",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1967,2,132,31.333333333,31,3.1299261427,0.2724251031,30,33,22,39,"Y"
"27",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1967,4,15,38.666666667,39,3.9218557318,1.0126187957,36,41,31,46,"Y"
"28",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1967,3,118,34.06779661,34,2.7510023459,0.2532502933,32,36,29,41,"Y"
"29",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1967,5,3,40,40,3,1.7320508076,37,43,37,43,"Y"
"30",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1967,7,2,41,41,2.8284271247,2,39,43,39,43,"Y"
"31",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1967,6,2,45,45,0,0,45,45,45,45,"Y"
"32",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1967,1,27,20.777777778,20,3.2620584975,0.6277834505,19,21,16,29,"Y"
"33",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1968,1,13,21.461538462,20,3.7774635365,1.0476798825,19,25,17,28,"Y"
"34",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1968,2,42,29.285714286,29.5,3.5564144336,0.548766661,26,32,24,37,"Y"
"35",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1968,3,83,33.096385542,33,2.6851645625,0.2947351012,32,35,26,39,"Y"
"36",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1968,6,1,41,41,NA,NA,41,41,41,41,"Y"
"37",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1968,4,9,36.444444444,36,1.5092308564,0.5030769521,36,37,34,39,"Y"
"38",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1968,5,1,35,35,NA,NA,35,35,35,35,"Y"
"39",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1969,3,139,31.64028777,32,2.3031396159,0.1953497526,30,33,25,36,"Y"
"40",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1969,6,1,43,43,NA,NA,43,43,43,43,"Y"
"41",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1969,1,14,23.5,24,2.3121751331,0.6179547976,21,26,20,26,"Y"
"42",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1969,4,35,35.257142857,35,2.240573156,0.3787259872,34,36,31,41,"Y"
"43",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1969,5,1,40,40,NA,NA,40,40,40,40,"Y"
"44",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1969,2,30,29.033333333,30,3.4188456747,0.6241929655,26,31,23,35,"Y"
"45",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1970,7,3,45,46,1.7320508076,1,43,46,43,46,"Y"
"46",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1970,6,7,38.857142857,38,2.115700942,0.7996597916,37,41,37,42,"Y"
"47",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1970,3,214,30.070093458,30,2.854819332,0.195151432,28,32,24,37,"Y"
"48",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1970,2,63,28.650793651,28,3.4601824032,0.4359420062,26,32,23,36,"Y"
"49",172909,"SNEMA","NONE","NMFS fall BTS",10,"FALL",1970,4,193,33.269430052,33,2.7271681334,0.1963058577,32,35,26,43,"Y"
